speaker,party,state
Giuseppe Vecci,PSDB,GO
Givaldo Carimbão,AVANTE,AL
Givaldo Vieira,PCdoB,ES
Glauber Braga,PSOL,RJ
Gonzaga Patriota,PSB,PE
Gorete Pereira,PR,CE
Goulart,PSD,SP
Guilherme Coelho,PSDB,PE
Guilherme Mussi,PP,SP
Heitor Schuch,PSB,RS
Helder Salomão,PT,ES
Henrique Eduardo Alves,PMDB,RN
Henrique Fontana,PT,RS
Herculano Passos,MDB,SP
Heráclito Fortes,DEM,PI
Heuler Cruvinel,PP,GO
Hildo Rocha,MDB,MA
Hiran Gonçalves,PP,RR
Hissa Abrahão,PDT,AM
Hugo Leal,PSD,RJ
Hugo Motta,PRB,PB
Hélio Leite,DEM,PA
Indio da Costa,PSD,RJ
Irajá Abreu,PSD,TO
Ivan Valente,PSOL,SP
Izalci Lucas,PSDB,DF
JHC,PSB,AL
Jaime Martins,PROS,MG
Jair Bolsonaro,PSL,RJ
Jandira Feghali,PCdoB,RJ
Janete Capiberibe,PSB,AP
Jean Wyllys,PSOL,RJ
Jefferson Campos,PSB,SP
Jerônimo Goergen,PP,RS
Jhonatan de Jesus,PRB,RR
Joaquim Passarinho,PSD,PA
Jones Martins,MDB,RS
Jorge Boeira,PP,SC
Jorge Côrte Real,PTB,PE
Jorge Solla,PT,BA
Jorge Tadeu Mudalen,DEM,SP
Jorginho Mello,PR,SC
Jose Stédile,PSB,RS
Josi Nunes,PROS,TO
Josué Bengtson,PTB,PA
José Airton Cirilo,PT,CE
José Carlos Aleluia,DEM,BA
José Carlos Araújo,PR,BA
José Fogaça,MDB,RS
José Guimarães,PT,CE
José Magalhães,PT,CE
José Mentor,PT,SP
José Nunes,PSD,BA
José Priante,MDB,PA
José Reinaldo,PSDB,MA
José Rocha,PR,BA
Jovair Arantes,PTB,GO
Jozi Araújo,PODE,AP
João Arruda,MDB,PR
João Campos,PRB,GO
João Carlos Bacelar,PR,BA
João Castelo,PSDB,MA
João Daniel,PT,SE
João Derly,REDE,RS
João Fernando Coutinho,PROS,PE
João Gualberto,PSDB,BA
João Marcelo Souza,MDB,MA
João Paulo Papa,PSDB,SP
João Rodrigues,PSD,SC
Julio Lopes,PP,RJ
Julião Amin,PDT,MA
Junior Marreca,PATRI,MA
Juscelino Filho,DEM,MA
Jutahy Jr.,PSDB,BA
Jô Moraes,PCdoB,MG
Júlia Marinho,PSC,PA
Júlio Cesar,PSD,PI
Júlio Delgado,PSB,MG
Júlio Lopes,PP,RJ
Kaio Maniçoba,SD,PE
Keiko Ota,PSB,SP
Laercio Oliveira,PP,SE
Laerte Bessa,PR,DF
Laudivio Carvalho,PODE,MG
Laura Carneiro,DEM,RJ
Leandre,PV,PR
Lelo Coimbra,MDB,ES
Leo de Brito,PT,AC
Leonardo Monteiro,PT,MG
Leonardo Picciani,MDB,RJ
Leonardo Quintão,MDB,MG
Leopoldo Meyer,PSB,PR
Leônidas Cristino,PDT,CE
Lincoln Portela,PR,MG
Lindomar Garçon,PRB,RO
Lobbe Neto,PSDB,SP
Luana Costa,PSC,MA
Lucas Vergilio,SD,GO
Luciana Santos,PCdoB,PE
Luciano Ducci,PSB,PR
Lucio Mosquini,MDB,RO
Luis Carlos Heinze,PP,RS
Luiz Carlos Busato,PTB,RS
Luiz Carlos Hauly,PSDB,PR
Luiz Carlos Ramos,PR,RJ
Luiz Cláudio,PR,RO
Luiz Couto,PT,PB
Luiz Fernando Faria,PP,MG
Luiz Lauro Filho,PSB,SP
Luiz Nishimori,PR,PR
Luiz Sérgio,PT,RJ
Luiza Erundina,PSOL,SP
Luizianne Lins,PT,CE
Luzia Ferreira,PPS,MG
Lázaro Botelho,PP,TO
Lúcio Vale,PR,PA
Macedo,PP,CE
Magda Mofatto,PR,GO
Maia Filho,PP,PI
Major Olimpio,PSL,SP
Mandetta,DEM,MS
Manoel Jr.,MDB,PB
Mara Gabrilli,PSDB,SP
Marcelo Aguiar,DEM,SP
Marcelo Aro,PHS,MG
Marcelo Belinati,PP,PR
